Date,Price,Open,High,Low
04-Apr-24,68.4965,65.9684,69.2388,65.0963
03-Apr-24,65.963,65.4436,66.8448,64.559
02-Apr-24,65.4392,69.6627,69.673,64.6284
01-Apr-24,69.6644,71.3293,71.3293,68.1759
31-Mar-24,71.332,69.6085,71.3675,69.5766
30-Mar-24,69.6115,69.8723,70.3212,69.5649
29-Mar-24,69.8717,70.7667,70.907,69.0909
28-Mar-24,70.7621,69.4494,71.5425,68.9569
27-Mar-24,69.4424,69.9992,71.6708,68.4286
26-Mar-24,69.9993,69.8963,71.4907,69.3664
25-Mar-24,69.892,67.2164,71.1188,66.395
24-Mar-24,67.2119,64.0365,67.5878,63.8129
23-Mar-24,64.0378,63.7856,65.9724,63.0749
22-Mar-24,63.7855,65.5015,66.6333,62.3283
21-Mar-24,65.5038,67.86,68.1617,64.6161
20-Mar-24,67.854,62.0468,68.0295,60.8509
19-Mar-24,62.05,67.5941,68.0996,61.5606
18-Mar-24,67.5941,68.3897,68.9201,66.6014
17-Mar-24,68.3912,65.3142,68.8577,64.6055
16-Mar-24,65.3142,69.4565,70.037,64.971
15-Mar-24,69.4637,71.3871,72.3981,65.7656
14-Mar-24,71.3875,73.0667,73.7409,68.7172
13-Mar-24,73.0663,71.4619,73.6235,71.3384
12-Mar-24,71.4702,72.0991,72.9167,68.8456
11-Mar-24,72.0991,68.9647,72.7715,67.4528
10-Mar-24,68.9648,68.3607,69.9053,68.165
09-Mar-24,68.3665,68.1785,68.5769,67.9239
08-Mar-24,68.172,66.8544,69.904,66.1707
07-Mar-24,66.8553,66.0746,67.9855,65.6026
06-Mar-24,66.0804,63.7947,67.6049,62.8487
05-Mar-24,63.7926,68.2731,69.0631,60.1382
04-Mar-24,68.2701,63.1358,68.4951,62.7468
03-Mar-24,63.1358,61.9556,63.2273,61.3994
02-Mar-24,61.9945,62.3977,62.4463,61.6219
01-Mar-24,62.3977,61.1573,63.1473,60.7909
29-Feb-24,61.1693,62.4671,63.6534,60.5125
28-Feb-24,62.4676,57.0487,63.9153,56.7049
27-Feb-24,57.0562,54.4911,57.5552,54.464
26-Feb-24,54.4951,51.7227,54.8991,50.9252
25-Feb-24,51.7227,51.5721,51.952,51.299
24-Feb-24,51.5716,50.7396,51.6899,50.592
23-Feb-24,50.7405,51.3206,51.5325,50.5376
22-Feb-24,51.3204,51.8502,52.0158,50.9473
21-Feb-24,51.8582,52.2635,52.3673,50.6769
20-Feb-24,52.2635,51.7831,52.9368,50.8018
19-Feb-24,51.7836,52.1196,52.4848,51.6942
18-Feb-24,52.1175,51.646,52.3503,51.1996
17-Feb-24,51.646,52.1342,52.1755,50.6523
16-Feb-24,52.1342,51.9014,52.5567,51.6126
15-Feb-24,51.9013,51.8052,52.8194,51.3275
14-Feb-24,51.7824,49.7086,52.0107,49.2638
13-Feb-24,49.716,49.941,50.3266,48.3983
12-Feb-24,49.9413,48.2802,50.2773,47.7299
11-Feb-24,48.2773,47.7593,48.5316,47.5902
10-Feb-24,47.7582,47.128,48.149,46.875
09-Feb-24,47.1275,45.2933,48.1188,45.2542
08-Feb-24,45.2933,44.3462,45.5792,44.3364
07-Feb-24,44.3398,43.0884,44.3679,42.7835
06-Feb-24,43.0877,42.6976,43.3755,42.5668
05-Feb-24,42.6972,42.5814,43.5322,42.2725
04-Feb-24,42.5814,43.0062,43.1132,42.3794
03-Feb-24,43.0057,43.1947,43.3704,42.882
02-Feb-24,43.1947,43.0837,43.4593,42.5963
01-Feb-24,43.0814,42.5801,43.2631,41.8905
31-Jan-24,42.5805,42.9462,43.7397,42.3154
30-Jan-24,42.9462,43.3033,43.8179,42.7029
29-Jan-24,43.2998,42.0314,43.3056,41.8247
28-Jan-24,42.0307,42.1213,42.8171,41.649
27-Jan-24,42.1209,41.8115,42.1918,41.413
